"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sig","Gene"
"Lmnb1",1.27201554455157e-18,0.704405975206057,0.269,0.067,1.74902137375841e-14,"2","Lmnb1"
"Ly6c2",5.63780621040458e-10,0.703030641363832,0.12,0.02,7.7519835393063e-06,"2","Ly6c2"
"Klrd1",2.74825868900544e-24,0.702584573039974,0.231,0.016,3.77885569738248e-20,"2","Klrd1"
"Crip1",1.85765249852966e-46,0.702155096500307,0.998,0.969,2.55427218547828e-42,"2","Crip1"
"Wfdc17",6.39924824619851e-30,0.701189907417632,0.874,0.694,8.79896633852296e-26,"2","Wfdc17"
"Ms4a4c",5.91455263706578e-09,0.694696987535776,0.296,0.163,8.13250987596545e-05,"2","Ms4a4c"
"Dusp5",1.16882620530534e-20,0.690236801678021,0.437,0.183,1.60713603229484e-16,"2","Dusp5"
"Flna",3.1763210453974e-18,0.689779377184578,0.583,0.337,4.36744143742143e-14,"2","Flna"
"Bcl2a1d",3.96060934259585e-21,0.67163531140316,0.685,0.458,5.4458378460693e-17,"2","Bcl2a1d"
"Alcam",8.82516535841617e-25,0.667987550359969,0.423,0.138,1.21346023678222e-20,"2","Alcam"
"Malt1",1.48736513210748e-13,0.666275487283922,0.232,0.071,2.04512705664778e-09,"2","Malt1"
"H2-DMb2",1.07884976079239e-16,0.656094686680739,0.33,0.121,1.48341842108953e-12,"2","H2-DMb2"
"Rps27l",2.06960047116322e-22,0.652545596012029,0.809,0.676,2.84570064784943e-18,"2","Rps27l"
"Asgr2",2.47670719825732e-06,0.648480084960112,0.14,0.056,0.0340547239760382,"2","Asgr2"
"Zyx",2.97736054381791e-21,0.644343043201501,0.649,0.404,4.09387074774963e-17,"2","Zyx"
"Ccl22",3.81524408820679e-11,0.641458770927538,0.165,0.04,5.24596062128434e-07,"2","Ccl22"
"Qpct",4.34862641528083e-29,0.633063240905997,0.28,0.02,5.97936132101115e-25,"2","Qpct"
"Thbs1",1.18791242140026e-07,0.631239028090125,0.12,0.033,0.00163337957942536,"2","Thbs1"
"Bri3bp",3.73382565728045e-24,0.62439040051658,0.296,0.054,5.13401027876062e-20,"2","Bri3bp"
"Hp",2.39063665228459e-11,0.614068240974292,0.124,0.016,3.28712539689131e-07,"2","Hp"
"Hopx",2.14831104359551e-20,0.613515775642462,0.292,0.069,2.95392768494382e-16,"2","Hopx"
"Clec4e",3.06938716478226e-10,0.611431356430487,0.213,0.08,4.22040735157561e-06,"2","Clec4e"
"Plbd1",5.60140599668416e-25,0.596608459104582,0.883,0.835,7.70193324544071e-21,"2","Plbd1"
"H2afz",1.50238347432907e-27,0.590713404544634,0.958,0.953,2.06577727720248e-23,"2","H2afz"
"Dennd4a",3.48589987654595e-08,0.587169557334748,0.431,0.283,0.000479311233025068,"2","Dennd4a"
"Ifi27l2a",1.39313144268268e-23,0.586404110327531,0.952,0.882,1.91555573368868e-19,"2","Ifi27l2a"
"Syngr2",9.20537132502993e-18,0.58475659456225,0.751,0.587,1.26573855719162e-13,"2","Syngr2"
"Naaa",5.34719152545493e-15,0.582293406922162,0.584,0.388,7.35238834750053e-11,"2","Naaa"
"Spp1",6.99953430658085e-15,0.576165517978557,0.211,0.047,9.62435967154867e-11,"2","Spp1"
"Bcl2a1a",4.75537358591365e-14,0.573954890919928,0.629,0.444,6.53863868063127e-10,"2","Bcl2a1a"
"Sirpb1c",2.4349525762288e-14,0.568959218242867,0.276,0.096,3.3480597923146e-10,"2","Sirpb1c"
"S100a10",2.41423049434965e-28,0.564105834077001,0.935,0.788,3.31956692973076e-24,"2","S100a10"
"Klra2",7.94130023443833e-12,0.561896935480593,0.417,0.232,1.09192878223527e-07,"2","Klra2"
"Avpi1",1.022379147802e-10,0.561591785725014,0.287,0.129,1.40577132822775e-06,"2","Avpi1"
"Rel",2.30462127643604e-11,0.559821287478446,0.654,0.484,3.16885425509956e-07,"2","Rel"
"Irf7",2.25465805161189e-08,0.556861925903117,0.162,0.056,0.000310015482096634,"2","Irf7"
"Cst3",1.66039323781374e-22,0.554301333904633,1,1,2.28304070199389e-18,"2","Cst3"
"Cdkn1a",1.72402927108452e-15,0.55339253396634,0.91,0.826,2.37054024774121e-11,"2","Cdkn1a"
"Pitpna",1.37775894729797e-20,0.544818219910049,0.831,0.759,1.8944185525347e-16,"2","Pitpna"
"Hepacam2",1.92108804399477e-14,0.54331703515224,0.445,0.239,2.64149606049281e-10,"2","Hepacam2"
"Agpat4",1.38829483190554e-14,0.541891831766896,0.374,0.163,1.90890539387011e-10,"2","Agpat4"
"Lrrfip1",2.73345344971016e-12,0.541131375243988,0.458,0.259,3.75849849335147e-08,"2","Lrrfip1"
"Cfp",9.2118561561651e-17,0.539118361884533,0.648,0.404,1.2666302214727e-12,"2","Cfp"
"Serp1",8.33086876097249e-14,0.535207035621297,0.694,0.542,1.14549445463372e-09,"2","Serp1"
"Fgr",4.78236475430143e-15,0.532866327940431,0.348,0.143,6.57575153716446e-11,"2","Fgr"
"Cd9",5.91322948878877e-16,0.531119725282823,0.822,0.703,8.13069054708455e-12,"2","Cd9"
"Ace",2.2339677393092e-10,0.527797400639424,0.104,0.009,3.07170564155016e-06,"2","Ace"
"Lyz1",1.35900937003246e-16,0.525517110982807,0.763,0.522,1.86863788379463e-12,"2","Lyz1"
"Dcstamp",2.35845001272327e-17,0.522777541212228,0.177,0.016,3.24286876749449e-13,"2","Dcstamp"
"Cd44",1.36685284583439e-11,0.513870018755503,0.653,0.487,1.87942266302228e-07,"2","Cd44"
"Icam1",8.15328801362222e-09,0.510093043836512,0.643,0.513,0.000112107710187306,"2","Icam1"
"Tmed5",1.09553839748278e-10,0.506774590622705,0.587,0.402,1.50636529653882e-06,"2","Tmed5"
"Flrt3",1.20012085911192e-11,0.502959272456894,0.262,0.103,1.65016618127888e-07,"2","Flrt3"
"St3gal5",1.09284308134049e-23,0.502840950864884,0.229,0.016,1.50265923684318e-19,"2","St3gal5"
"Fcgrt",3.02452337361841e-12,-0.500612126616269,0.629,0.748,4.15871963872532e-08,"1","Fcgrt"
"Cltc",2.08224241467077e-10,-0.501553117862085,0.424,0.56,2.86308332017232e-06,"1","Cltc"
"Camk1",6.29485897946964e-15,-0.503723548888643,0.453,0.605,8.65543109677076e-11,"1","Camk1"
"Dhrs3",1.07996434072647e-14,-0.504321413423459,0.432,0.596,1.4849509684989e-10,"1","Dhrs3"
"Tubb2a",9.29170279193579e-16,-0.506164420789733,0.243,0.446,1.27760913389117e-11,"1","Tubb2a"
"Mmp13",2.88502255061558e-13,-0.507071101442102,0.019,0.109,3.96690600709642e-09,"1","Mmp13"
"Cd83",5.00814571035785e-13,-0.507937680056053,0.959,0.949,6.88620035174205e-09,"1","Cd83"
"Vsir",6.67589258625454e-21,-0.508306892602312,0.509,0.712,9.17935230609999e-17,"1","Vsir"
"Pmp22",7.96159751683832e-10,-0.530012706448562,0.312,0.458,1.09471965856527e-05,"1","Pmp22"
"Mrc1",1.83325919123296e-09,-0.537376363223325,0.604,0.71,2.52073138794531e-05,"1","Mrc1"
"Arrb2",1.19136541881957e-16,-0.539407540049196,0.374,0.556,1.63812745087691e-12,"1","Arrb2"
"Tmem176a",8.49690742023439e-29,-0.540656506157966,0.903,0.967,1.16832477028223e-24,"1","Tmem176a"
"Slc29a1",4.1219605793059e-18,-0.546783776575844,0.253,0.449,5.66769579654562e-14,"1","Slc29a1"
"Lmna",1.01156072488956e-12,-0.556981174746923,0.758,0.855,1.39089599672314e-08,"1","Lmna"
"St3gal6",7.0646932781085e-19,-0.559730670019486,0.154,0.353,9.71395325739919e-15,"1","St3gal6"
"Atp6v0c",4.27437249319455e-29,-0.568417762405723,0.9,0.967,5.8772621781425e-25,"1","Atp6v0c"
"Ctsc",1.02895085064152e-27,-0.577802405049991,0.923,0.984,1.41480741963209e-23,"1","Ctsc"
"Col14a1",7.20554172581356e-35,-0.579150419870299,0.025,0.232,9.90761987299365e-31,"1","Col14a1"
"Irf8",2.28930446983618e-18,-0.582855298749693,0.21,0.411,3.14779364602475e-14,"1","Irf8"
"Lamp1",4.91787503934735e-32,-0.582974372758025,0.827,0.953,6.76207817910261e-28,"1","Lamp1"
"Ang",3.95432404024463e-23,-0.594663499347489,0.083,0.275,5.43719555533637e-19,"1","Ang"
"Serpinf1",4.43361503648428e-30,-0.602630943539756,0.052,0.266,6.09622067516589e-26,"1","Serpinf1"
"Ltc4s",5.12935232157166e-10,-0.617171482188144,0.077,0.185,7.05285944216103e-06,"1","Ltc4s"
"Snx5",2.02656390190304e-25,-0.620179107854368,0.478,0.703,2.78652536511668e-21,"1","Snx5"
"Lair1",7.87573584931526e-29,-0.621092442287264,0.181,0.462,1.08291367928085e-24,"1","Lair1"
"Fyb",9.15019067488757e-26,-0.621990851904906,0.377,0.658,1.25815121779704e-21,"1","Fyb"
"Abca1",1.17222614131449e-23,-0.628230465806272,0.055,0.239,1.61181094430743e-19,"1","Abca1"
"Pdlim4",3.14637932368788e-33,-0.63141373943168,0.109,0.375,4.32627157007084e-29,"1","Pdlim4"
"Slco2b1",1.82958065721009e-40,-0.634867055600067,0.021,0.25,2.51567340366387e-36,"1","Slco2b1"
"Fosb",1.99539609730513e-15,-0.647565528396766,0.846,0.897,2.74366963379455e-11,"1","Fosb"
"Ctsd",9.046440661202e-13,-0.650380343691987,0.521,0.667,1.24388559091528e-08,"1","Ctsd"
"Rgs10",7.41559800663486e-37,-0.652228863158521,0.817,0.944,1.01964472591229e-32,"1","Rgs10"
"Ninj1",3.75479701953251e-12,-0.653814109717604,0.498,0.632,5.16284590185721e-08,"1","Ninj1"
"Maf",4.006140318428e-30,-0.660130565388665,0.012,0.176,5.50844293783849e-26,"1","Maf"
"Tmem119",3.66903364601617e-45,-0.668502345170286,0.023,0.275,5.04492126327223e-41,"1","Tmem119"
"Fcgr3",1.99213371332172e-31,-0.67761970932516,0.781,0.935,2.73918385581736e-27,"1","Fcgr3"
"Vcam1",1.63496251571203e-22,-0.681770977170789,0.021,0.163,2.24807345910404e-18,"1","Vcam1"
"Trim47",9.43015444032332e-26,-0.682261943756847,0.116,0.337,1.29664623554446e-21,"1","Trim47"
"Tsc22d3",1.40578540134553e-20,-0.69893200811206,0.365,0.589,1.9329549268501e-16,"1","Tsc22d3"
"Timp2",5.79095446616145e-30,-0.702639249977327,0.655,0.855,7.962562390972e-26,"1","Timp2"
"Rab3il1",2.57773042163746e-34,-0.704473919139912,0.118,0.388,3.5443793297515e-30,"1","Rab3il1"
"Anxa3",7.52862292848547e-32,-0.714928029482954,0.297,0.592,1.03518565266675e-27,"1","Anxa3"
"Rab7b",3.06705758470838e-30,-0.72188269257673,0.211,0.504,4.21720417897402e-26,"1","Rab7b"
"Tmem176b",7.94651958121308e-51,-0.731711460348435,0.937,0.989,1.0926464424168e-46,"1","Tmem176b"
"Egr1",2.72002996905215e-11,-0.740122780212651,0.642,0.752,3.7400412074467e-07,"1","Egr1"
"Rgl1",2.15620076921541e-17,-0.741802538170288,0.119,0.301,2.96477605767119e-13,"1","Rgl1"
"Ms4a6b",2.59795088890362e-24,-0.756451954978087,0.385,0.636,3.57218247224248e-20,"1","Ms4a6b"
"Trf",5.48706069681277e-27,-0.769733464582129,0.789,0.924,7.54470845811755e-23,"1","Trf"
"Lyz2",2.22720692483179e-40,-0.77029018975836,0.994,0.998,3.06240952164372e-36,"1","Lyz2"
"Gpr34",5.21443907455842e-26,-0.777903133188296,0.15,0.384,7.16985372751783e-22,"1","Gpr34"
"Cx3cr1",2.35688897361496e-24,-0.78269223349393,0.38,0.623,3.24072233872058e-20,"1","Cx3cr1"
"Dab2",2.9922012445226e-25,-0.797655634169617,0.447,0.67,4.11427671121858e-21,"1","Dab2"
"Ier3",2.57003096506778e-09,-0.80426183116486,0.593,0.696,3.53379257696819e-05,"1","Ier3"
"Gas6",4.85057315959644e-22,-0.817531140158537,0.046,0.21,6.6695380944451e-18,"1","Gas6"
