Probeset_ID,Gene Symbol,Mo BM Ly6C- II-,Sample_,Sample_,Sample_
10338178,---,-8.45,-18.84,-23.58,27.51
10338179,---,-15.46,0.05,-7.73,-30.92
10338180,---,61.10,65.05,61.63,56.13
10338181,---,52.89,68.63,52.60,31.11
10338182,---,-3.19,-9.38,1.49,-2.27
10338183,---,-68.66,-92.81,-15.01,-94.67
10338184,---,77.35,81.50,43.80,91.76
10338185,---,-43.08,-93.92,-4.21,-9.49
10338186,---,-13.36,-38.03,1.66,-4.66
10338187,---,91.29,86.98,84.02,96.89
10338188,---,20.39,21.91,-9.93,45.82
10338189,---,10.72,-8.36,24.58,20.04
10338190,---,93.81,92.01,94.38,94.19
10338191,---,48.09,74.79,-29.68,71.84
10338192,---,50.81,83.01,-27.12,67.68
10338193,---,-27.76,13.90,-39.56,-58.67
10338194,---,-76.66,-82.58,-57.23,-86.33
10338195,---,92.27,90.92,91.25,94.37
10338196,---,50.29,41.51,46.40,61.52
10338197,---,59.99,28.02,70.28,72.56
10338198,---,-3.70,-20.51,18.94,-12.59
10338199,---,-21.70,-47.36,-20.28,-1.31
10338200,---,-70.78,-16.18,-81.96,-90.13
10338201,---,-56.38,-30.76,-68.92,-65.64
10338202,---,86.83,82.40,83.21,91.72
10338203,---,59.06,48.53,58.94,70.26
10338204,---,46.64,-21.54,55.93,83.92
10338205,---,-64.83,-55.48,-54.21,-80.23
10338206,---,-5.13,-40.82,-16.16,55.62
10338207,---,-10.25,-19.06,-9.78,-4.45
10338208,---,-37.94,-52.79,-4.78,-56.64
10338209,---,92.44,94.04,92.01,90.99
10338210,---,66.74,84.60,69.38,31.23
10338211,---,24.14,65.43,-18.35,13.95
10338212,---,-26.61,19.76,-98.65,24.23
10338213,---,-2.50,4.82,-3.40,-6.20
10338214,---,80.45,88.08,66.31,82.18
10338215,---,-82.48,-80.78,-97.32,-54.38
10338216,---,-3.52,14.09,-38.62,22.95
10338217,---,92.47,91.48,95.99,88.66
10338218,---,20.76,10.94,88.40,-63.97
10338219,---,41.51,29.06,71.59,14.53
10338220,---,-81.06,-73.18,-91.45,-75.94
10338221,---,97.93,97.93,98.28,97.50
10338222,---,-58.20,-77.19,-57.26,-38.62
10338223,---,94.54,94.73,94.48,94.20
10338224,---,-45.85,-0.48,-56.25,-69.54
10338225,---,35.36,16.16,29.80,54.56
10338226,---,-40.16,-73.62,-6.71,-49.12
10338227,---,37.94,75.87,-75.96,84.89
10338228,---,66.49,63.52,60.93,73.97
10338229,---,-38.78,-77.26,-15.09,-34.34
10338230,---,-58.01,-85.36,-64.15,-25.00
10338231,---,37.72,21.23,36.20,53.44
10338232,---,-48.93,-36.43,-63.20,-48.15
10338233,---,-7.44,69.30,-40.97,-55.65
10338234,---,-58.40,-60.91,-35.84,-73.79
10338235,---,-35.89,-31.82,-31.95,-44.08
10338236,---,11.00,-0.48,49.33,-16.29
10338237,---,89.74,90.50,90.61,87.47
10338238,---,-32.68,-15.09,-31.47,-52.38
10338239,---,-23.80,-46.78,-4.54,-20.62
10338240,---,-63.68,-55.71,-77.24,-55.27
10338241,---,-25.81,-34.33,-18.88,-25.40
