Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II-,Sample_,Sample_,Sample_
10338182,---,-9.33,33.69,-76.18,33.12
10338183,---,-16.13,-20.43,-26.08,-3.77
10338184,---,80.95,57.07,85.83,90.21
10338185,---,69.57,39.20,81.64,77.98
10338186,---,20.91,60.15,-11.28,3.83
10338187,---,82.35,60.26,95.60,77.86
10338188,---,37.68,35.23,35.23,42.33
10338189,---,20.04,5.54,30.24,22.13
10338190,---,98.44,96.74,98.87,99.01
10338191,---,27.66,38.71,-30.79,65.26
10338192,---,77.16,24.71,94.01,82.26
10338193,---,85.83,87.80,90.11,77.80
10338194,---,-45.66,-24.17,-51.91,-63.21
10338195,---,96.82,93.20,96.09,98.79
10338196,---,22.66,25.24,34.91,10.38
10338197,---,29.29,16.51,11.40,53.80
10338198,---,98.13,95.35,99.19,98.25
10338199,---,50.60,31.43,65.52,52.49
10338200,---,59.80,52.63,58.63,66.18
10338201,---,82.58,88.61,84.09,71.33
10338202,---,15.35,28.88,23.93,-7.48
10338203,---,31.80,-13.00,46.90,60.18
10338204,---,98.90,96.64,99.28,99.45
10338205,---,-74.99,-64.80,-84.75,-69.00
10338206,---,-17.96,17.00,-19.10,-66.68
10338207,---,-16.00,-74.67,38.66,-47.22
10338208,---,73.77,74.23,79.83,66.67
10338209,---,95.78,94.91,97.82,95.16
10338210,---,-4.49,10.77,38.88,-56.54
10338211,---,85.78,83.72,91.87,80.69
10338212,---,81.98,61.37,90.57,82.03
10338213,---,-4.24,-11.75,22.59,-16.24
10338214,---,36.48,-16.98,59.84,56.89
10338215,---,54.01,73.81,-3.19,62.55
10338216,---,-34.51,-71.50,-11.16,-20.03
10338217,---,-17.34,5.70,-29.56,-28.12
10338218,---,75.54,79.30,86.30,50.99
10338219,---,59.50,41.99,74.44,57.67
10338220,---,-29.23,-45.69,10.38,-52.54
10338221,---,66.46,69.25,72.21,56.58
10338222,---,61.46,91.04,9.43,47.85
10338223,---,99.32,98.91,99.35,99.66
10338224,---,76.93,71.08,76.08,83.26
10338225,---,94.48,91.16,95.99,95.41
10338226,---,31.92,6.69,63.79,10.36
10338227,---,90.21,95.17,91.11,80.49
10338228,---,29.56,17.70,26.88,43.03
10338229,---,-14.93,-8.72,-36.30,-9.29
10338230,---,86.17,70.03,84.37,95.43
10338231,---,-16.44,-41.34,-26.24,16.08
10338232,---,27.33,10.42,10.51,59.05
10338233,---,61.25,-21.89,73.12,91.30
10338234,---,60.19,21.85,31.12,90.96
10338235,---,-7.39,-3.54,-4.86,-19.51
10338236,---,91.22,90.95,80.70,96.76
10338237,---,67.06,79.04,71.86,43.85
10338238,---,86.56,87.56,90.70,81.01
10338239,---,66.76,63.89,70.68,65.03
10338240,---,90.03,94.45,88.95,81.19
10338241,---,-19.57,-19.63,-20.05,-19.20
10338242,---,88.39,72.18,91.13,93.80
10338243,---,16.97,20.06,-35.80,62.09
10338244,---,53.45,65.03,44.69,49.01
10338245,---,-37.89,-29.83,-21.04,-78.85
10338246,---,60.70,71.18,26.40,75.34
10338247,---,85.08,90.00,39.89,94.56
10338248,---,86.72,82.53,88.33,88.12
10338249,---,88.25,91.50,93.84,74.35
10338250,---,52.92,25.45,68.04,60.77
10338251,---,20.64,19.01,36.21,2.45
10338252,---,69.16,64.21,50.31,83.58
10338253,---,27.64,24.09,36.05,22.80
10338254,---,63.31,72.67,56.65,59.01
10338255,---,70.92,-15.56,93.14,89.34
