Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II-,Sample_,Sample_,Sample_
10341459,---,8.56,6.77,17.35,2.86
10341460,---,-63.96,-41.77,-64.96,-82.34
10341461,---,71.56,67.15,62.30,81.61
10341462,---,50.64,72.05,81.03,-29.23
10341463,---,88.64,85.12,94.42,82.40
10341464,---,22.50,22.50,23.06,22.08
10341465,---,29.38,-8.45,44.09,50.06
10341466,---,-73.23,-70.21,-70.64,-78.36
10341467,---,-14.17,18.74,-31.54,-22.84
10341468,---,97.77,95.67,96.69,99.37
10341469,---,72.34,17.75,72.05,92.20
10341470,---,81.21,75.66,86.97,80.52
10341471,---,-75.31,-99.44,-53.29,-30.91
10341472,---,69.10,78.65,26.28,81.48
10341473,---,65.00,85.16,75.27,3.83
10341474,---,49.25,65.13,34.46,48.56
10341475,---,-6.59,26.08,-35.07,-8.79
10341476,---,44.05,44.05,59.71,26.13
10341477,---,92.55,93.99,92.81,90.49
10341478,---,-17.31,32.59,-16.55,-62.58
10341479,---,95.04,96.27,89.30,97.47
10341480,---,40.48,28.67,36.85,54.78
10341481,---,92.16,96.47,91.87,85.30
10341482,---,-1.85,19.20,-30.35,29.26
10341483,---,48.83,61.91,33.88,48.97
10341484,---,78.47,-6.44,78.62,98.75
10341485,---,54.68,48.31,67.54,44.25
10341486,---,60.16,4.72,0.79,95.12
10341487,---,-12.64,-0.21,19.91,-55.47
10341488,---,96.97,97.25,93.74,98.67
10341489,---,-23.13,-75.69,-20.88,-4.51
10341490,---,97.20,96.00,96.76,98.34
10341491,---,-2.20,32.60,-4.54,-42.89
10341492,---,77.41,40.98,91.79,78.74
10341493,---,74.69,75.76,71.98,76.32
10341494,---,-11.19,51.09,-39.84,-41.55
10341495,---,71.72,73.57,75.05,65.32
10341496,---,48.80,34.11,55.39,54.98
10341497,---,96.00,97.72,95.63,94.09
10341498,---,-19.65,-12.48,-65.27,28.89
10341499,---,58.61,86.33,64.46,-2.53
10341500,---,77.40,95.25,61.46,54.18
10341501,---,98.54,96.82,99.30,99.04
10341502,---,36.12,7.01,70.85,11.60
10341503,---,-3.60,-9.23,20.55,-10.52
10341504,---,67.63,61.63,63.10,76.78
10341505,---,-8.22,14.13,-49.59,17.75
10341506,---,39.33,20.06,-5.76,81.33
10341507,---,38.71,39.00,26.13,50.16
10341508,---,94.94,84.00,96.62,97.88
10341509,---,76.13,78.36,79.24,69.43
10341510,---,-49.45,-70.01,-16.53,-72.03
10341511,---,71.33,32.06,83.58,83.26
10341512,---,54.57,46.14,21.70,78.30
10341513,---,96.75,96.33,95.91,97.59
10341514,---,-21.72,13.11,-52.75,-21.38
10341515,---,75.49,57.79,83.62,79.83
10341516,---,96.96,97.62,95.40,97.20
10341517,---,96.15,92.10,97.90,97.17
10341518,---,39.93,56.16,22.07,38.22
10341519,---,99.71,99.85,99.77,99.47
10341520,---,-68.17,-80.58,-75.20,-33.69
10341521,---,66.24,87.51,46.49,46.67
10341522,---,92.87,89.60,93.04,94.80
10341523,---,87.00,84.69,84.91,90.01
10341524,---,85.75,93.71,75.30,83.19
10341525,---,92.77,96.13,96.29,78.43
10341526,---,40.76,56.09,38.93,27.15
10341527,---,1.16,-57.01,35.59,35.74
10341528,---,32.15,23.33,45.07,28.02
10341529,---,65.20,53.78,58.72,79.75
10341530,---,-71.66,-74.22,-71.84,-69.14
10341531,---,-46.10,-33.06,-55.43,-48.57
10341532,---,-25.16,-73.20,30.09,-21.47
10341533,---,-29.24,-52.30,-5.40,-29.29
10341534,---,15.74,-5.25,-6.41,56.77
10341535,---,-19.33,-15.98,-16.68,-25.81
10341536,---,-36.47,-32.52,-39.21,-37.45
10341537,---,61.68,54.03,75.41,54.80
10341538,---,48.19,47.06,37.31,59.82
10341539,---,-10.09,-14.05,-56.60,41.79
10341540,---,-25.64,-21.56,-30.08,-26.03
10341541,---,66.76,93.62,41.45,21.71
10341542,---,91.47,79.62,92.40,97.08
10341543,---,76.51,65.97,87.12,74.72
10341544,---,33.18,39.19,46.40,8.98
10341545,---,-12.28,-30.22,-2.41,-9.49
10341546,---,45.81,60.50,13.06,54.68
10341547,---,-51.31,-69.86,1.30,-67.85
10341548,---,-60.67,-59.06,-64.86,-57.37
10341549,---,72.20,57.70,82.73,71.71
10341550,---,-54.27,-66.81,-57.68,-36.11
10341551,---,94.96,85.59,96.83,98.01
10341552,---,26.94,8.05,39.75,31.33
10341553,---,70.08,50.15,69.00,84.47
10341554,---,9.12,42.89,-24.34,22.18
10341555,---,-4.85,3.49,-9.83,-9.55
10341556,---,96.49,95.97,97.14,96.20
10341557,---,93.00,88.63,90.40,96.68
10341558,---,-23.56,-64.23,-15.09,-13.27
10341559,---,-34.76,-74.42,31.72,-64.69
10341560,---,99.52,99.15,99.73,99.17
10341561,---,-45.05,-57.07,-32.72,-40.05
10341562,---,-15.27,-31.76,-17.02,-0.38
10341563,---,-25.45,-80.03,2.66,-4.94
10341564,---,73.58,76.85,30.07,91.46
10341565,---,21.10,76.15,-43.68,19.44
10341566,---,96.73,94.67,97.41,97.72
10341567,---,57.44,34.31,37.72,80.97
10341568,---,96.51,81.23,96.07,99.54
10341569,---,77.65,23.09,86.40,92.15
10341570,---,92.40,88.88,94.78,92.77
10341571,---,81.19,74.87,84.56,83.54
10341572,---,22.56,13.55,68.52,-26.78
10341573,---,59.33,14.92,78.13,69.74
10341574,---,38.27,33.31,42.71,40.19
10341575,---,70.28,54.46,71.12,81.46
10341576,---,77.29,92.06,63.88,63.79
10341577,---,93.53,94.10,96.94,85.83
10341578,---,51.49,27.45,51.03,71.96
10341579,---,-27.28,19.58,-51.86,-45.95
10341580,---,-52.97,-29.91,-69.23,-56.34
10341581,---,90.14,77.02,90.50,96.15
10341582,---,76.33,76.21,75.28,77.38
10341583,---,71.09,89.20,61.15,53.08
10341584,---,-26.27,-64.07,-1.55,-20.13
10341585,---,94.69,99.29,90.12,74.50
10341586,---,83.81,80.15,81.93,88.87
10341587,---,16.84,-3.44,31.71,21.98
10341588,---,51.03,45.52,82.71,6.88
10341589,---,68.81,67.07,59.37,78.39
10341590,---,-4.70,-15.35,-33.31,39.46
10341591,---,-63.90,-76.66,-64.86,-46.02
10341592,---,92.58,91.19,93.19,93.02
10341593,---,37.28,-32.96,76.17,46.52
10341594,---,98.83,99.27,98.87,97.86
10341595,---,-62.45,-53.15,-66.63,-67.33
10341596,---,28.16,21.89,38.55,24.37
10341597,---,-11.73,-55.75,12.19,6.45
10341598,---,-20.68,-81.77,-2.15,13.37
10341599,---,-18.16,-96.86,69.78,15.91
10341600,---,-2.06,-0.52,-1.18,-7.58
10341601,---,-18.53,-41.23,-31.60,18.38
10341602,---,-25.28,-90.78,-20.66,41.88
10341603,---,43.58,-9.51,72.40,51.43
10341604,---,0.66,39.93,-30.76,6.61
10341605,---,55.21,84.59,43.71,27.97
10341606,---,-13.44,-21.87,-5.97,-12.59
10341607,---,-4.32,-12.74,12.29,-5.67
10341608,---,-37.40,-7.43,-35.33,-61.78
10341609,---,-11.11,-36.39,-18.84,30.45
10341610,---,16.91,-10.23,40.70,26.35
10341611,---,-27.24,-2.78,-33.44,-45.50
10341612,---,92.71,76.91,94.58,97.66
10341613,---,86.14,79.55,84.16,92.81
10341614,---,94.48,92.40,95.47,95.28
10341615,---,-37.62,-40.27,-35.33,-37.21
10341616,---,68.33,85.04,32.87,71.55
10341617,---,62.74,76.93,69.28,27.96
10341618,---,62.12,65.28,68.85,50.17
10341619,---,9.21,21.99,-25.29,40.75
10341620,---,56.83,-11.08,37.69,95.51
10341621,---,68.67,45.23,81.90,69.01
10341622,---,69.48,58.14,77.04,72.23
10341623,---,96.07,90.70,95.76,98.86
10341624,---,95.52,94.66,93.45,97.65
10341625,---,77.64,84.03,68.40,79.39
10341626,---,37.16,-67.05,-15.01,95.48
10341627,---,-60.76,-68.03,-68.51,-44.82
10341628,---,93.99,96.60,91.51,91.71
10341629,---,84.76,75.74,87.26,88.27
10341630,---,71.79,68.88,82.93,59.16
10341631,---,-15.78,31.55,-41.10,-33.41
10341632,---,70.41,84.19,58.44,63.13
10341633,---,-73.00,-65.00,-67.26,-82.20
10341634,---,-29.89,-23.15,5.54,-64.62
10341635,---,97.72,96.88,98.25,97.79
10341636,---,74.66,73.81,42.57,91.28
10341637,---,97.38,96.72,97.23,98.10
10341638,---,1.15,28.50,53.82,-65.80
10341639,---,53.60,30.89,67.65,59.39
10341640,---,97.65,99.42,94.37,96.38
10341641,---,-52.24,-57.66,-46.25,-52.43
10341642,---,57.37,63.78,66.17,41.06
10341643,---,11.48,-57.85,39.73,49.32
10341644,---,-11.35,-15.55,34.34,-48.53
10341645,---,-48.40,-62.79,-29.86,-52.11
10341646,---,94.78,95.38,95.76,92.99
10341647,---,58.69,52.46,38.46,78.64
10341648,---,71.02,74.48,78.31,58.09
10341649,---,9.72,34.29,-6.37,0.70
10341650,---,92.47,89.19,90.17,95.91
10341651,---,-55.32,-65.27,-59.03,-38.78
10341652,---,51.67,72.83,53.24,20.47
10341653,---,-0.89,26.22,-5.36,-9.63
10341654,---,13.75,-38.45,25.61,52.43
10341655,---,81.18,66.44,84.16,87.83
10341656,---,7.51,-62.33,91.74,-47.08
10341657,---,66.14,69.77,70.86,57.39
10341658,---,58.06,43.93,61.16,67.23
10341659,---,90.86,82.56,92.31,95.17
10341660,---,12.71,55.41,-39.95,25.71
10341661,---,15.71,-11.62,17.50,43.86
10341662,---,95.02,94.81,90.84,97.19
10341663,---,-36.18,-17.96,-25.52,-60.08
10341664,---,94.27,67.86,96.09,99.03
10341665,---,20.03,20.80,19.56,19.47
10341666,---,83.81,81.65,85.24,83.96
10341667,---,72.04,88.22,50.80,67.47
10341668,---,58.44,68.18,55.77,48.59
10341669,---,21.49,-42.52,70.03,36.28
10341670,---,85.81,74.64,90.79,88.92
10341671,---,72.04,48.04,77.60,86.13
10341672,---,88.00,82.25,86.47,93.09
10341673,---,-87.26,-26.92,-90.00,-99.44
10341674,---,85.77,85.73,89.36,81.26
10341675,---,82.42,68.14,91.01,82.87
10341676,---,69.03,70.90,44.09,82.68
10341677,---,9.44,-5.01,19.40,19.07
10341678,---,-39.23,-27.37,-22.33,-78.76
10341679,---,83.15,77.47,81.68,88.60
10341680,---,69.59,53.36,75.33,75.44
10341681,---,92.71,90.59,87.86,97.21
10341682,---,47.61,22.50,61.54,64.15
10341683,---,95.62,91.07,96.57,97.44
10341684,---,46.48,54.69,46.17,38.01
10341685,---,-42.85,-18.37,-39.40,-82.77
10341686,---,52.31,69.36,50.81,36.25
10341687,---,92.44,87.90,91.25,95.30
10341688,---,6.98,-15.83,59.76,-21.43
10341689,---,43.00,-11.95,62.40,68.98
10341690,---,65.95,38.62,83.39,67.86
10341691,---,81.48,80.65,80.32,83.59
10341692,---,13.09,48.66,-12.03,14.56
10341693,---,78.05,79.77,89.44,59.94
10341694,---,-1.77,8.54,-4.02,-3.95
10341695,---,89.58,83.89,92.73,91.51
10341696,---,76.00,87.66,34.30,87.38
10341697,---,76.09,80.11,66.78,78.53
10341698,---,54.94,54.87,20.29,73.02
10341699,---,-23.36,-16.41,-23.52,-30.52
10341700,---,62.91,78.54,68.22,33.57
10341701,---,-22.96,2.86,-26.45,-42.98
10341702,---,37.35,55.61,-27.34,72.14
10341703,---,74.30,79.05,65.27,77.70
10341704,---,86.19,88.75,86.56,82.61
10341705,---,98.79,97.95,98.46,99.55
10341706,---,60.31,42.02,79.36,52.26
10341707,---,92.78,96.03,79.36,96.25
10341708,---,-31.92,-24.90,-39.74,-32.34
10341709,---,39.90,69.26,-2.46,39.57
10341710,---,58.21,63.13,53.40,57.62
10341711,---,41.65,29.75,41.14,51.46
10341712,---,43.58,-2.89,-0.64,92.07
10341713,---,53.78,48.50,37.86,69.29
10341714,---,-68.84,-63.40,-72.08,-70.01
10341715,---,-4.14,-21.94,49.01,-36.31
10341716,---,77.54,41.43,81.45,94.29
10341717,---,57.18,45.34,80.60,37.58
10341718,---,91.72,95.68,92.70,85.73
10341719,---,45.41,84.55,3.28,19.23
10341720,---,63.77,66.17,52.64,74.45
10341721,---,75.92,79.15,68.51,79.03
10341722,---,98.35,96.99,99.27,98.41
10341723,---,24.49,28.55,24.59,20.44
10341724,---,36.97,27.08,61.89,15.03
10341725,---,84.42,55.76,95.11,87.20
10341726,---,52.60,36.37,76.07,38.60
10341727,---,-48.73,-61.12,-41.22,-43.24
10341728,---,95.57,94.52,98.31,92.32
10341729,---,-28.63,-25.20,-17.86,-46.85
10341730,---,-11.86,-10.72,-6.79,-21.05
10341731,---,-69.89,-82.78,-51.52,-71.11
10341732,---,64.70,4.17,60.64,90.49
10341733,---,66.36,78.44,69.65,47.49
10341734,---,94.89,94.44,98.68,83.93
10341735,---,10.20,14.44,-5.31,22.16
10341736,---,98.48,96.57,99.65,98.02
10341737,---,-6.37,-2.93,-8.95,-8.38
10341738,---,-59.94,-66.75,-13.73,-94.85
10341739,---,92.09,96.14,86.31,89.93
10341740,---,51.48,64.95,40.84,45.43
10341741,---,87.90,79.63,77.19,96.66
10341742,---,46.75,-20.77,62.23,79.59
10341743,---,79.67,78.82,93.89,53.48
10341744,---,87.57,91.70,90.43,79.43
10341745,---,19.25,11.85,3.50,40.40
10341746,---,48.35,44.92,50.36,49.77
10341747,---,63.10,-10.08,94.01,45.17
10341748,---,66.57,54.44,74.41,68.56
10341749,---,16.80,10.75,24.12,15.39
10341750,---,60.60,58.06,41.07,78.76
10341751,---,82.47,65.91,89.21,85.57
10341752,---,2.67,-23.53,-3.34,24.54
10341753,---,93.37,95.50,82.66,96.47
10341754,---,52.26,-21.98,86.92,55.05
10341755,---,-8.56,-7.35,-64.18,35.92
10341756,---,98.09,94.57,98.47,99.31
10341757,---,64.77,64.65,68.92,60.09
10341758,---,38.45,57.24,20.81,35.38
10341759,---,-11.24,68.02,-75.88,-25.49
10341760,---,74.66,83.24,81.98,49.52
10341761,---,-51.99,-73.63,-54.50,-16.74
10341762,---,-65.29,-84.95,-74.84,-27.08
10341763,---,88.16,62.01,88.39,97.57
10341764,---,96.65,91.18,96.65,98.06
10341765,---,69.77,36.39,80.76,79.83
10341766,---,71.39,80.67,69.83,62.90
10341767,---,94.01,94.25,91.59,95.19
10341768,---,50.44,35.96,44.61,69.55
10341769,---,-84.79,-88.37,-77.51,-86.18
10341770,---,-0.65,4.74,-11.87,5.67
10341771,---,44.14,72.97,39.90,1.43
10341772,---,86.90,87.84,86.79,85.88
10341773,---,-68.20,-66.72,-76.03,-58.43
10341774,---,51.70,59.62,33.77,58.80
10341775,---,25.05,26.42,32.22,15.31
10341776,---,68.94,75.44,67.37,63.57
10341777,---,10.53,-0.88,2.45,32.14
10341778,---,88.06,84.31,86.34,92.78
10341779,---,63.99,54.86,63.17,73.36
10341780,---,93.60,89.12,96.75,91.91
10341781,---,94.25,74.47,97.34,98.47
10341782,---,84.29,81.21,82.72,88.42
10341783,---,55.95,42.76,59.02,64.11
10341784,---,48.18,35.48,62.86,42.31
10341785,---,41.41,5.94,57.44,52.84
10341786,---,71.58,73.95,72.66,67.99
10341787,---,83.68,87.62,81.32,82.17
10341788,---,73.81,65.72,74.61,79.53
10341789,---,96.71,98.19,95.58,95.75
10341790,---,-18.90,-7.91,-26.93,-23.30
10341791,---,89.72,61.00,97.81,92.62
10341792,---,10.31,10.03,5.42,17.72
10341793,---,-15.85,-25.05,3.95,-22.90
10341794,---,96.57,95.58,91.13,99.05
10341795,---,80.23,49.09,30.51,98.47
10341796,---,74.28,75.78,71.67,74.90
10341797,---,25.05,13.08,21.40,40.85
10341798,---,97.61,98.30,95.49,98.85
10341799,---,98.54,99.42,96.70,98.07
10341800,---,85.48,81.52,89.86,84.12
10341801,---,3.79,7.38,3.01,1.54
10341802,---,85.68,50.16,93.70,92.37
10341803,---,79.11,94.31,80.86,39.16
10341804,---,-13.45,-29.01,23.71,-29.63
10341805,---,-73.09,-79.37,-46.14,-86.65
10341806,---,88.09,87.61,85.31,90.95
10341807,---,10.91,-47.45,-21.27,80.92
10341808,---,84.14,91.26,82.65,75.56
10341809,---,-3.80,18.60,-8.22,-13.60
10341810,---,98.68,98.71,97.24,99.22
10341811,---,-22.44,-57.78,-47.69,29.93
10341812,---,31.81,30.18,29.73,34.84
10341813,---,91.74,69.59,98.81,91.74
10341814,---,58.24,62.51,76.50,23.86
10341815,---,89.79,94.42,82.73,88.06
10341816,---,58.76,69.01,49.61,55.70
10341817,---,-10.65,-49.43,-11.67,33.47
10341818,---,65.67,68.42,78.32,44.56
10341819,---,52.80,60.72,11.54,75.73
10341820,---,74.85,75.22,56.70,87.93
10341821,---,88.58,67.99,92.77,95.02
10341822,---,91.85,80.37,76.22,98.49
10341823,---,76.62,78.13,66.46,83.52
10341824,---,96.39,89.93,97.77,97.70
10341825,---,-2.70,-15.32,13.90,1.01
10341826,---,50.51,-10.49,71.57,66.91
10341827,---,90.37,96.89,89.11,75.48
10341828,---,91.93,91.54,89.56,94.74
10341829,---,86.10,88.00,93.42,72.69
10341830,---,84.85,86.71,84.51,83.75
10341831,---,12.37,6.21,4.18,25.52
10341832,---,4.30,10.35,-0.39,4.32
10341833,---,-13.36,-17.49,-3.53,-19.89
10341834,---,61.72,44.18,73.01,64.83
10341835,---,41.48,53.89,30.36,35.33
10341836,---,86.29,84.86,84.67,89.02
10341837,---,91.77,95.29,85.68,91.48
10341838,---,75.68,78.92,71.95,75.75
10341839,---,-3.64,59.62,-51.69,-14.32
10341840,---,85.27,56.31,87.72,95.53
10341841,---,-61.53,-58.65,-37.59,-86.52
10341842,---,8.91,-5.80,-2.44,36.58
10341843,---,34.10,45.74,62.03,-14.46
10341844,---,25.72,38.61,16.48,21.59
10341845,---,82.29,83.69,81.73,81.59
10341846,---,60.33,57.41,55.72,67.98
10341847,---,70.20,71.30,58.31,79.51
10341848,---,13.51,43.90,-62.21,60.03
10341849,---,39.07,23.66,52.68,38.42
10341850,---,12.48,30.45,2.18,0.52
10341851,---,54.84,77.13,63.65,11.05
10341852,---,56.66,77.81,34.65,40.83
10341853,---,96.56,94.84,97.63,97.09
10341854,---,50.97,55.24,76.86,2.86
10341855,---,33.98,22.11,-15.48,79.24
10341856,---,5.53,-24.41,21.57,39.71
10341857,---,-39.98,-50.59,-23.70,-41.47
10341858,---,75.89,0.35,91.48,89.12
10341859,---,33.67,23.40,34.44,45.11
10341860,---,66.69,89.35,71.69,10.75
10341861,---,-13.94,-10.86,-9.09,-22.09
10341862,---,95.46,89.88,96.13,97.53
10341863,---,20.07,-8.72,-1.34,64.67
10341864,---,98.12,98.91,97.71,97.13
10341865,---,67.99,18.69,71.63,87.72
10341866,---,-62.45,-75.70,-85.62,-27.00
10341867,---,9.33,23.24,-11.02,22.98
10341868,---,-36.44,17.32,-55.77,-62.74
10341869,---,84.25,77.07,69.38,95.07
10341870,---,86.40,81.81,90.59,85.61
10341871,---,6.02,-19.52,21.30,25.17
10341872,---,18.07,13.52,10.17,28.63
10341873,---,40.06,48.91,46.90,24.16
10341874,---,94.19,89.09,87.50,98.38
10341875,---,15.51,8.24,23.14,16.23
10341876,---,64.24,37.77,85.84,50.37
10341877,---,87.23,80.77,91.78,85.44
10341878,---,-6.42,43.97,-15.96,-30.82
10341879,---,96.67,92.90,98.31,96.92
10341880,---,-45.78,-45.85,-51.53,-40.03
10341881,---,-20.02,-53.70,14.88,-15.62
10341882,---,-44.25,-39.17,-64.90,-32.71
10341883,---,83.08,65.59,87.48,89.40
10341884,---,64.72,54.36,72.14,66.43
10341885,---,-16.34,8.56,-39.59,-15.88
10341886,---,94.92,95.17,93.80,95.45
10341887,---,95.33,93.53,95.29,96.81
10341888,---,53.38,58.66,64.80,34.62
10341889,---,2.48,14.60,37.43,-46.16
10341890,---,99.13,99.05,99.43,98.75
10341891,---,-56.67,-62.97,-51.22,-54.08
10341892,---,-0.07,-37.22,49.22,-4.14
10341893,---,95.90,96.65,97.19,91.89
10341894,---,18.81,29.26,28.90,-2.81
10341895,---,59.13,65.54,20.17,77.81
10341896,---,-5.53,-28.12,-18.43,43.28
10341897,---,74.73,78.28,68.01,77.70
10341898,---,57.19,32.40,63.00,71.51
10341899,---,16.00,-6.66,15.03,38.99
10341900,---,13.82,47.34,-28.75,27.01
10341901,---,51.33,39.50,69.15,44.95
10341902,---,86.14,84.84,86.23,87.54
10341903,---,88.26,93.76,77.06,87.89
10341904,---,98.46,92.96,99.12,99.47
10341905,---,83.79,81.11,80.70,89.28
10341906,---,44.61,-5.70,55.59,69.76
10341907,---,54.93,44.30,83.14,10.82
10341908,---,70.19,56.09,72.51,78.69
10341909,---,46.25,30.56,63.45,39.24
10341910,---,7.71,14.97,5.96,3.35
10341911,---,-18.02,-74.46,6.00,-2.69
10341912,---,-36.86,-29.91,-43.59,-37.01
10341913,---,-58.24,-73.70,-73.05,-24.80
10341914,---,-52.45,-53.81,-52.31,-51.16
10341915,---,59.51,48.63,44.17,77.79
10341916,---,90.20,82.47,95.08,88.92
10341917,---,-16.24,-85.96,54.40,-4.32
10341918,---,-32.16,-63.00,6.35,-32.19
10341919,---,95.57,93.08,96.11,97.00
10341920,---,1.90,31.57,6.78,-11.68
10341921,---,32.83,36.67,21.05,39.85
10341922,---,80.98,68.07,91.76,79.21
10341923,---,73.32,73.92,64.50,79.14
10341924,---,86.37,82.07,93.83,82.21
10341925,---,-29.88,-40.51,25.33,-80.59
10341926,---,62.59,69.52,39.59,73.21
10341927,---,51.57,41.22,-16.31,88.45
10341928,---,76.73,61.42,80.27,85.04
10341929,---,81.09,40.68,79.40,95.20
10341930,---,87.84,83.48,87.48,92.29
10341931,---,-46.46,-72.50,-17.56,-45.33
10341932,---,12.43,-32.72,88.08,-39.85
10341933,---,9.32,36.23,-7.18,-1.76
10341934,---,75.42,77.93,72.14,76.40
10341935,---,-9.31,-21.29,22.81,-24.00
10341936,---,87.60,88.76,75.92,92.92
10341937,---,5.86,-12.73,2.29,33.59
10341938,---,88.87,95.77,75.72,87.27
10341939,---,-13.27,-41.00,-4.62,0.43
10341940,---,49.47,25.79,65.20,53.12
10341941,---,80.89,65.09,88.63,84.55
10341942,---,65.58,51.54,68.08,73.07
10341943,---,-16.52,48.70,-30.86,-57.71
10341944,---,-13.74,13.28,-12.55,-43.45
10341945,---,76.25,79.39,78.98,68.43
10341946,---,79.40,75.05,72.47,88.16
10341947,---,87.85,89.86,86.86,86.24
10341948,---,-45.04,-30.55,-56.51,-47.20
10341949,---,-56.65,-97.68,-39.90,-25.57
10341950,---,37.06,-41.53,72.31,73.11
10341951,---,-34.69,-24.32,-30.23,-49.17
10341952,---,97.93,98.36,98.59,96.15
10341953,---,-34.04,-4.78,-70.64,-15.21
10341954,---,76.54,76.03,86.61,62.77
10341955,---,36.45,47.52,45.44,13.27
10341956,---,44.37,52.62,43.12,38.21
10341957,---,30.71,28.26,30.00,33.70
10341958,---,-17.67,31.53,-55.37,-22.09
10341959,---,66.25,38.52,79.95,70.35
10341960,---,85.61,81.14,94.25,78.99
10341961,---,94.58,86.34,97.21,95.76
10341962,---,-73.18,-78.41,-72.93,-67.13
10341963,---,93.21,92.32,94.25,92.74
10341964,---,-0.18,39.49,-35.39,10.51
10341965,---,76.54,-8.38,94.86,82.47
10341966,---,81.81,91.39,83.98,64.07
10341967,---,82.41,89.13,73.71,82.52
10341968,---,49.39,-14.70,49.64,80.53
10341969,---,5.83,39.47,-8.04,-14.62
10341970,---,98.79,98.42,99.17,98.56
10341971,---,29.03,29.40,10.26,48.70
10341972,---,23.53,70.24,-26.64,19.13
10341973,---,-7.89,-11.90,-35.92,32.36
10341974,---,24.78,-40.13,44.40,65.26
10341975,---,75.85,48.81,95.81,51.77
10341976,---,97.86,95.79,98.99,97.61
10341977,---,88.38,80.55,75.39,96.02
10341978,---,98.31,98.22,98.13,98.46
10341979,---,39.18,-19.90,52.28,70.09
10341980,---,34.67,47.06,30.32,25.82
10341981,---,80.40,48.28,85.79,92.48
10341982,---,-43.95,-58.14,-61.60,-10.80
10341983,---,83.16,92.06,78.38,74.11
10341984,---,-43.45,-23.19,-72.79,-31.89
10341985,---,89.45,89.65,90.81,87.24
10341986,---,-70.58,-90.44,-53.52,-57.39
10341987,---,24.88,65.60,-4.93,-1.24
10341988,---,76.86,64.78,90.86,70.99
10341989,---,71.94,76.65,77.90,59.72
10341990,---,95.08,90.20,92.14,99.25
10341991,---,33.84,53.55,19.53,27.77
10341992,---,82.88,69.28,85.14,90.72
10341993,---,74.01,58.42,79.59,81.75
10341994,---,52.81,-12.97,51.55,88.43
10341995,---,43.34,50.32,66.81,2.42
10341996,---,80.47,87.65,77.46,74.56
10341997,---,35.26,36.14,23.71,46.65
10341998,---,-10.37,-14.81,-8.39,-8.73
10341999,---,-6.51,0.77,-9.00,-15.99
10342000,---,99.05,94.47,98.31,99.87
10342001,---,75.30,46.23,91.91,71.84
10342002,---,77.12,83.11,71.73,76.62
10342003,---,-39.29,-90.83,-3.83,-40.54
10342004,---,71.55,77.77,54.74,78.02
10342005,---,78.81,66.05,89.71,69.91
10342006,---,-52.72,-17.13,-62.68,-72.37
10342007,---,92.12,94.45,89.23,92.09
10342008,---,-65.86,-63.21,-94.12,-20.79
10342009,---,-6.24,25.97,-30.38,-4.84
10342010,---,97.36,95.97,97.03,98.68
10342011,---,30.41,-2.52,37.51,51.18
10342012,---,81.53,79.01,89.08,73.57
10342013,---,79.27,79.27,73.06,84.10
10342014,---,-18.69,-8.22,-9.67,-47.73
10342015,---,84.08,80.44,95.01,67.95
10342016,---,86.72,68.08,91.07,94.52
10342017,---,41.36,58.28,30.30,36.86
10342018,---,-32.57,-17.54,-43.40,-39.83
10342019,---,33.74,75.88,17.99,-13.19
10342020,---,-65.37,-81.38,-76.57,-40.38
10342021,---,83.69,85.02,82.21,84.01
10342022,---,64.96,70.35,44.03,74.50
10342023,---,8.99,-44.47,23.83,45.86
10342024,---,-2.99,-28.03,59.79,-14.74
10342025,---,98.03,96.84,98.08,98.86
10342026,---,19.86,24.28,24.16,10.27
10342027,---,63.95,51.23,80.72,52.38
10342028,---,-2.63,52.64,-71.67,23.80
10342029,---,88.92,96.20,73.14,85.19
10342030,---,23.92,23.70,28.95,19.50
10342031,---,-0.93,48.24,-37.28,-7.81
10342032,---,-12.52,12.21,-34.84,-15.06
10342033,---,94.09,92.14,94.33,95.45
10342034,---,-39.07,-63.29,-34.32,-20.61
10342035,---,-11.65,-1.35,-37.20,-0.49
10342036,---,80.46,80.59,80.51,80.36
10342037,---,-2.55,-4.55,-8.19,7.40
10342038,---,96.67,94.54,98.00,97.21
10342039,---,11.99,-30.05,-11.24,70.58
10342040,---,92.86,66.75,97.59,98.07
10342041,---,-69.14,-82.13,-75.42,-41.59
10342042,---,-26.80,-12.91,-39.33,-29.65
10342043,---,93.04,86.38,93.90,95.79
10342044,---,-59.47,-88.40,-34.28,-48.38
10342045,---,99.74,99.40,99.96,99.59
10342046,---,87.25,78.26,93.04,86.01
10342047,---,-67.66,-75.85,-85.53,-42.06
10342048,---,15.69,33.23,2.13,11.55
10342049,---,-7.77,-0.12,-10.63,-12.74
10342050,---,-15.54,-14.24,-52.29,24.16
10342051,---,-50.93,-35.81,-67.55,-50.28
10342052,---,-90.29,-73.77,-95.84,-94.47
10342053,---,4.27,17.28,1.32,-5.44
10342054,---,-18.35,-48.31,-19.24,-2.44
10342055,---,80.88,91.37,59.04,81.07
10342056,---,12.16,-1.15,55.88,-23.59
10342057,---,41.88,56.26,64.60,-7.14
10342058,---,22.38,-55.53,64.60,50.71
10342059,---,-25.84,-30.11,-63.27,20.05
10342060,---,43.16,48.19,50.00,29.84
10342061,---,55.23,-41.06,80.22,83.68
10342062,---,86.60,92.34,72.67,88.41
