Probeset_ID,Gene Symbol,MF SLN,Sample_,Sample_
10338210,---,96.71,98.05,92.86
10338211,---,43.72,42.76,44.39
10338212,---,78.75,77.31,79.84
10338213,---,-84.90,-86.04,-83.74
10338214,---,52.47,82.14,4.78
10338215,---,62.70,93.09,-27.23
10338216,---,-79.59,24.38,-99.62
10338217,---,-0.26,-26.81,23.19
10338218,---,-28.92,24.97,-71.54
10338219,---,-90.38,-51.23,-98.77
10338220,---,-37.62,-40.76,-34.95
10338221,---,52.39,57.74,46.74
10338222,---,57.82,-64.72,97.30
10338223,---,82.04,79.21,84.80
10338224,---,-50.01,-66.70,-30.04
10338225,---,13.92,-39.00,62.78
10338226,---,77.44,85.52,65.01
10338227,---,60.73,93.47,-19.40
10338228,---,-94.45,-76.93,-98.40
10338229,---,-28.78,-61.53,-10.48
10338230,---,59.81,-17.70,94.09
10338231,---,-41.37,-15.46,-59.37
10338232,---,-54.18,-70.77,-36.92
10338233,---,-25.77,72.35,-94.98
10338234,---,-23.68,3.30,-49.89
10338235,---,-47.11,-55.44,-39.31
10338236,---,-26.49,-50.30,-5.24
10338237,---,90.50,80.87,95.86
10338238,---,-49.50,-14.35,-80.51
10338239,---,-55.38,13.21,-90.40
10338240,---,93.50,0.90,99.91
10338241,---,-56.61,-61.43,-52.03
10338242,---,-8.90,-26.77,10.35
10338243,---,76.31,97.19,7.95
10338244,---,6.22,-19.06,25.03
10338245,---,83.36,53.49,93.92
10338246,---,92.42,98.69,68.71
10338247,---,71.81,55.27,81.81
10338248,---,38.55,68.17,-4.66
10338249,---,-40.58,-82.28,23.16
10338250,---,-12.27,-35.00,15.79
10338251,---,-10.70,10.34,-29.85
10338252,---,25.42,-13.63,58.78
10338253,---,21.32,-55.95,81.35
10338254,---,-36.55,-57.12,-15.06
10338255,---,-13.67,-42.49,15.52
10338256,---,40.63,-2.10,72.59
10338257,---,34.87,18.52,47.19
10338258,---,-79.90,-59.28,-89.53
10338259,---,-31.54,-13.54,-55.96
10338260,---,39.02,-3.01,67.32
10338261,---,-3.18,51.72,-47.18
10338262,---,-11.29,-52.85,36.16
10338263,---,35.58,34.17,36.60
10338264,---,26.24,67.72,-20.44
10338265,---,-53.75,-98.32,42.53
10338266,---,3.83,-82.00,81.61
10338267,---,3.96,-96.69,94.81
10338268,---,-91.94,-97.98,-76.01
10338269,---,-7.64,-75.22,65.31
10338270,---,93.45,89.73,96.23
10338271,---,-22.25,-82.27,57.36
10338272,---,-87.88,-46.00,-97.96
10338273,---,-74.61,-6.19,-97.70
10338274,---,-31.64,58.16,-89.60
10338275,---,99.38,99.31,99.46
10338276,---,29.16,22.56,35.05
10338277,---,-59.22,-30.66,-79.15
10338278,---,71.14,62.11,79.02
10338279,---,40.75,56.51,23.15
10338280,---,-9.27,-20.28,0.62
10338281,---,-55.56,10.93,-90.30
10338282,---,-97.29,-17.52,-100.00
10338283,---,-51.15,-61.65,-38.62
10338284,---,96.06,98.32,90.98
10338285,---,6.67,50.62,-36.75
10338286,---,-41.75,-59.63,-16.83
10338287,---,33.17,-11.30,68.81
10338288,---,86.34,9.25,99.40
10338289,---,-38.45,-88.43,34.86
10338290,---,14.04,-54.50,72.20
10338291,---,-68.65,-75.68,-61.71
10338292,---,-12.88,-25.08,-1.75
10338293,---,81.56,84.12,78.48
10338294,---,79.51,94.02,38.52
10338295,---,44.00,20.78,65.56
10338296,---,-9.14,-57.33,48.72
10338297,---,69.05,31.23,88.18
10338298,---,15.70,25.01,9.91
10338299,---,54.78,52.54,56.97
10338300,---,-94.38,-99.75,-35.06
10338301,---,49.20,95.38,-74.50
10338302,---,-35.23,-92.00,53.24
10338303,---,-25.97,-11.99,-40.82
10338304,---,-3.53,-49.65,46.86
10338305,---,51.54,85.28,-10.42
10338306,---,-71.64,-86.55,-49.22
10338307,---,-56.69,-87.84,-24.65
10338308,---,-75.96,-69.83,-81.06
10338309,---,49.73,-7.34,78.40
10338310,---,-0.83,77.83,-78.22
10338311,---,69.25,94.89,-2.51
10338312,---,-47.66,-8.27,-76.56
10338313,---,-80.16,-57.68,-95.48
10338314,---,-58.15,34.26,-94.99
10338315,---,-13.38,-60.87,31.97
10338316,---,51.86,22.19,73.39
10338317,---,65.88,49.88,78.08
10338318,---,-98.04,-99.01,-95.77
10338319,---,23.16,95.20,-84.08
10338320,---,-99.16,-94.31,-99.80
10338321,---,-9.23,-25.05,5.99
10338322,---,9.47,-40.94,57.67
10338323,---,-26.18,-63.37,14.77
10338324,---,73.88,7.93,95.06
10338325,---,-86.13,-87.47,-84.64
10338326,---,-65.96,-89.70,-21.20
10338327,---,-84.29,-93.89,-62.56
10338328,---,78.89,90.14,56.50
10338329,---,-39.37,-29.12,-51.63
10338330,---,-78.54,-82.17,-74.14
10338331,---,-1.53,-9.35,3.20
10338332,---,-50.11,-48.74,-51.63
10338333,---,-33.76,-78.83,-10.48
10338334,---,-97.59,-95.39,-98.92
10338335,---,-2.33,-69.49,66.40
10338336,---,-28.49,-29.84,-26.83
10338337,---,-0.77,-7.14,13.66
10338338,---,-84.00,-81.28,-86.89
10338339,---,20.67,47.30,3.90
10338340,---,-33.61,60.63,-89.48
10338341,---,-95.52,-99.82,-42.45
10338342,---,-7.85,-28.17,17.29
10338343,---,21.47,-14.75,60.31
10338344,---,-16.73,-29.77,0.85
10338345,---,35.66,18.62,52.04
10338346,---,89.46,98.31,43.93
10338347,---,-98.13,-99.48,-93.49
10338348,---,-89.42,-83.97,-93.75
10338349,---,7.93,-21.57,32.96
10338350,---,-59.19,-25.50,-84.19
10338351,---,-20.57,-89.76,72.47
10338352,---,72.07,89.89,1.04
10338353,---,-2.27,-23.66,22.35
10338354,---,-86.52,-84.69,-88.01
10338355,---,-32.97,-11.67,-50.36
10338356,---,78.05,96.88,6.55
10338357,---,-36.37,-77.17,-1.69
10338358,---,71.87,75.94,68.57
10338359,---,24.17,70.41,-28.81
10338360,---,76.39,60.88,85.55
10338361,---,54.64,17.43,81.45
10338362,---,66.07,-71.54,96.85
10338363,---,-49.81,-67.16,-28.14
10338364,---,-64.77,-39.44,-83.40
10338365,---,-88.98,-92.20,-86.00
10338366,---,-94.80,-23.18,-99.89
10338367,---,10.99,-23.24,47.67
10338368,---,7.49,70.39,-54.01
10338369,---,-27.50,-54.97,6.02
10338370,---,18.72,55.32,-21.03
10338371,---,-72.04,-13.45,-91.54
10338372,---,-89.10,-96.55,-76.96
10338373,---,41.74,76.82,-9.84
10338374,---,91.38,97.87,73.04
10338375,---,40.16,69.74,3.35
10338376,---,-91.67,-99.25,-75.02
10338377,---,-10.51,-46.77,33.97
10338378,---,9.79,79.85,-72.38
10338379,---,6.23,8.60,3.57
10338380,---,-99.79,-99.98,-99.48
10338381,---,-34.29,-41.96,-27.12
10338382,---,-67.72,-59.73,-74.65
10338383,---,-71.75,-96.02,35.82
10338384,---,-84.07,-86.04,-81.64
10338385,---,28.12,31.23,24.51
10338386,---,39.26,81.27,-30.91
10338387,---,-72.45,-92.79,-41.30
10338388,---,9.24,31.00,-8.93
10338389,---,-87.01,-89.94,-82.89
10338390,---,-74.11,-57.52,-84.54
10338391,---,60.13,94.64,-33.04
10338392,---,-3.85,51.77,-57.19
10338393,---,58.88,-0.34,82.92
10338394,---,-86.48,-91.99,-66.81
10338395,---,82.77,94.49,55.71
10338396,---,-56.19,-36.45,-73.30
10338397,---,46.01,-62.16,94.53
10338398,---,-97.45,-98.16,-96.80
10338399,---,31.21,57.69,12.28
10338400,---,43.53,50.51,36.24
10338401,---,7.19,-84.19,81.68
10338402,---,-64.39,-36.52,-87.00
10338403,---,82.04,89.30,63.82
10338404,---,-3.34,68.76,-76.96
10338405,---,-7.80,-13.70,-2.74
10338406,---,-83.01,-43.53,-97.34
10338407,---,-8.02,89.75,-94.06
10338408,---,88.10,53.46,97.71
10338409,---,-27.29,74.92,-90.35
10338410,---,-73.63,-84.43,-58.08
10338411,---,2.89,-0.59,5.95
10338412,---,25.62,55.45,-9.74
10338413,---,-90.77,-90.51,-91.03
10338414,---,6.90,-94.69,96.66
10338415,---,-93.94,-96.16,-90.80
10338416,---,-75.33,-58.56,-86.97
10338417,---,-5.73,72.88,-80.65
10338418,---,-64.94,-95.13,-24.55
10338419,---,-94.52,-96.71,-92.19
10338420,---,-33.06,-29.77,-36.27
10338421,---,2.05,-24.12,14.68
10338422,---,43.16,80.37,-15.84
10338423,---,-59.25,-99.28,41.55
10338424,---,31.35,16.18,45.28
10338425,---,-46.90,-87.01,17.36
10338426,---,-32.52,-37.27,-27.70
10338427,---,-75.84,-80.57,-70.72
10338428,---,10.04,-29.49,59.40
10338429,---,-10.51,14.89,-34.97
10338430,---,53.17,-6.89,81.82
10338431,---,-93.42,-91.18,-95.16
10338432,---,-63.96,-39.28,-79.93
10338433,---,62.57,63.66,61.24
10338434,---,48.29,45.43,51.10
10338435,---,77.94,-14.32,94.45
10338436,---,85.59,-5.92,97.03
10338437,---,-11.07,-24.21,2.48
10338438,---,-28.11,-69.77,16.82
10338439,---,94.45,-36.77,99.66
10338440,---,14.20,76.94,-61.51
10338441,---,-51.19,4.39,-83.85
10338442,---,-44.02,-37.78,-49.49
10338443,---,-41.01,-70.41,-10.76
10338444,---,64.25,-1.53,86.50
10338445,---,-28.53,76.66,-98.06
10338446,---,-10.66,-28.45,5.32
10338447,---,-62.51,-39.16,-77.55
10338448,---,10.86,89.33,-86.57
10338449,---,82.46,74.17,89.94
10338450,---,31.14,12.12,47.24
10338451,---,73.00,35.61,88.70
10338452,---,5.01,3.50,6.73
10338453,---,-71.27,-78.03,-63.92
10338454,---,90.04,80.34,94.41
10338455,---,-71.37,-76.45,-66.74
10338456,---,97.36,99.27,90.26
10338457,---,-91.44,-99.14,-30.50
10338458,---,4.11,-13.85,25.06
10338459,---,-62.07,-35.71,-86.03
10338460,---,-6.98,-54.00,28.36
10338461,---,-80.88,-93.93,-50.25
10338462,---,6.93,-88.15,81.84
10338463,---,-87.14,-95.59,-53.84
10338464,---,-97.57,-87.85,-99.63
10338465,---,-37.22,31.96,-90.47
10338466,---,-86.10,-91.67,-76.26
10338467,---,84.39,87.42,79.64
10338468,---,-25.47,8.58,-54.04
10338469,---,-21.79,-10.27,-40.81
10338470,---,-74.92,-78.69,-70.27
10338471,---,2.23,0.19,12.48
10338472,---,91.59,91.61,91.50
10338473,---,35.30,92.36,-55.69
10338474,---,-33.33,-41.83,-20.13
10338475,---,98.56,98.75,97.91
10338476,---,-21.44,-24.14,-18.90
10338477,---,98.01,98.80,96.76
10338478,---,3.03,-10.94,25.64
10338479,---,-13.33,-20.98,-7.90
10338480,---,-5.61,-25.68,11.19
10338481,---,-14.87,-2.30,-26.55
10338482,---,-90.70,-95.27,-85.07
10338483,---,7.05,10.67,2.47
10338484,---,-60.05,-67.02,-54.26
10338485,---,-87.10,-88.78,-85.03
10338486,---,9.21,1.39,22.44
10338487,---,-85.38,-53.81,-95.63
10338488,---,-66.34,10.10,-94.92
10338489,---,-21.10,-83.42,64.58
10338490,---,-13.88,-16.59,-11.20
10338491,---,60.19,62.87,57.58
10338492,---,-14.15,-35.80,10.54
10338493,---,-99.40,-99.67,-98.98
10338494,---,-89.09,-99.28,-38.51
10338495,---,-61.31,-79.20,-35.28
10338496,---,-15.53,-28.16,-2.06
10338497,---,-13.36,96.35,-96.40
10338498,---,35.62,56.49,15.61
10338499,---,17.70,-76.88,89.88
10338500,---,-6.03,-32.20,21.12
10338501,---,92.22,89.78,95.16
10338502,---,-54.88,-88.26,-3.81
10338503,---,87.04,92.49,76.65
10338504,---,61.26,63.26,58.90
10338505,---,-99.90,-100.00,-99.65
10338506,---,27.61,27.65,27.43
10338507,---,-31.84,-79.12,38.36
10338508,---,5.86,-2.75,16.97
10338509,---,-93.94,-93.60,-94.21
10338510,---,69.99,82.61,48.77
10338511,---,48.68,82.43,-3.21
10338512,---,-78.97,-99.46,34.77
10338513,---,94.79,98.91,79.25
10338514,---,-53.59,-78.76,-7.35
10338515,---,-95.91,-95.82,-96.04
10338516,---,94.61,96.83,91.60
10338517,---,59.51,54.81,64.15
10338518,---,5.04,10.65,0.12
10338519,---,-18.97,11.47,-45.69
10338520,---,-76.00,-92.86,-30.64
10338521,---,88.16,96.06,66.34
10338522,---,-16.17,-17.47,-15.13
10338523,---,-19.37,-97.54,85.71
10338524,---,30.86,-17.48,66.42
10338525,---,-86.18,-88.33,-83.91
10338526,---,97.96,91.30,99.30
10338527,---,-86.65,-42.13,-99.72
10338528,---,-32.46,-45.63,-16.72
10338529,---,-93.74,-93.74,-93.78
10338530,---,26.81,8.30,50.86
10338531,---,-73.45,-97.48,20.92
10338532,---,42.14,76.05,-7.82
10338533,---,-67.17,-88.35,-25.64
10338534,---,-36.82,9.34,-83.11
10338535,---,-66.73,-94.62,1.80
10338536,---,61.79,59.10,63.74
10338537,---,-2.27,-33.37,34.58
10338538,---,-31.82,-72.34,7.95
10338539,---,-81.24,-90.19,-69.16
10338540,---,-0.35,0.26,-2.01
10338541,---,0.00,-28.23,36.53
10338542,---,-4.95,-20.43,9.88
10338543,---,75.81,67.24,82.34
10338544,---,12.37,3.13,20.60
10338545,---,27.59,27.81,27.26
10338546,---,85.38,87.20,83.70
10338547,---,73.23,70.32,75.97
10338548,---,26.08,-64.58,85.98
10338549,---,-0.69,-9.18,17.83
10338550,---,-59.85,-46.93,-72.04
10338551,---,44.44,-92.54,96.85
10338552,---,98.41,99.11,97.37
10338553,---,-9.16,73.11,-82.17
10338554,---,-73.15,-51.13,-87.49
10338555,---,88.53,98.42,36.80
10338556,---,-85.81,-92.25,-69.11
10338557,---,26.94,25.53,28.14
10338558,---,-43.97,-61.88,-22.69
10338559,---,97.13,97.20,96.95
10338560,---,-4.92,-21.79,16.72
10338561,---,-61.23,-64.15,-58.40
10338562,---,52.45,13.58,73.06
10338563,---,49.91,-1.68,77.67
10338564,---,25.08,74.33,-34.62
10338565,---,15.35,-76.26,88.56
10338566,---,-18.82,34.50,-61.92
10338567,---,22.72,32.15,15.34
10338568,---,-61.59,-60.14,-62.79
10338569,---,83.11,14.46,97.22
10338570,---,-7.29,-77.02,70.35
10338571,---,-95.30,-98.41,-88.95
10338572,---,88.53,88.92,88.28
10338573,---,-31.65,-57.25,-2.26
10338574,---,-16.25,-9.99,-22.67
10338575,---,-24.49,-41.97,-8.19
10338576,---,11.87,-57.08,75.26
10338577,---,5.18,-11.23,32.67
10338578,---,-5.29,-5.83,-4.65
10338579,---,-0.73,-7.90,24.14
10338580,---,67.71,22.54,91.80
10338581,---,-80.94,-98.83,-14.75
10338582,---,-27.38,-6.57,-49.71
10338583,---,72.44,86.47,41.98
10338584,---,82.39,93.44,56.48
10338585,---,83.49,85.19,81.45
10338586,---,-58.25,-69.92,-45.03
10338587,---,-24.21,-55.75,-0.02
10338588,---,95.04,93.71,96.27
10338589,---,-12.96,-70.60,50.83
10338590,---,-97.80,-98.29,-97.49
10338591,---,13.69,72.76,-49.17
10338592,---,21.02,76.85,-40.22
10338593,---,77.23,78.68,76.01
10338594,---,69.92,68.48,71.42
10338595,---,65.47,1.60,94.00
10338596,---,64.23,74.02,52.29
10338597,---,33.04,81.01,-38.93
10338598,---,-25.23,-98.07,72.45
10338599,---,-8.54,-5.71,-11.97
10338600,---,-13.19,64.48,-76.77
10338601,---,-56.79,-65.97,-45.71
10338602,---,-91.29,-93.24,-89.19
10338603,---,38.53,19.12,56.03
10338604,---,-58.36,-70.98,-34.37
10338605,---,12.61,-8.57,39.08
10338606,---,36.08,15.71,54.24
10338607,---,28.63,70.61,-26.13
10338608,---,-36.38,-26.42,-47.25
10338609,---,71.27,72.27,69.87
10338610,---,-12.90,-83.00,75.60
10338611,---,2.13,-23.85,33.20
10338612,---,76.33,95.13,11.09
10338613,---,-86.00,-77.39,-91.39
10338614,---,29.28,32.82,25.79
10338615,---,16.93,41.24,-6.07
10338616,---,-93.17,-95.96,-89.55
10338617,---,-58.62,-92.71,2.47
10338618,---,-98.38,-98.72,-98.25
10338619,---,1.83,-4.63,7.02
10338620,---,27.50,-39.99,80.92
10338621,---,1.44,29.65,-14.66
10338622,---,63.22,59.60,66.53
10338623,---,-65.89,-99.09,34.57
